Program ParDeg inputSize wmName tComputation tTotal
grPPiMemory 32 1499 polaroid-02.png 4420696 14906594
parallelFor 64 1499 polaroid-02.png 5856621 5994129
parallelForMemory 64 1499 polaroid-02.png 2061713 10970307
fastFlow 64 1499 polaroid-02.png 6197573 6338745
fastFlowMemory 64 1499 polaroid-02.png 2935862 11790133
threads 64 1499 polaroid-02.png 7862971 8000490
threadsMemory 64 1499 polaroid-02.png 2673223 11564666
grPPi 64 1499 polaroid-02.png 8407665 8520769
grPPiMemory 64 1499 polaroid-02.png 2507752 12997548
parallelFor 128 1499 polaroid-02.png 5685600 5827193
parallelForMemory 128 1499 polaroid-02.png 1748381 10510221
fastFlow 128 1499 polaroid-02.png 5873137 6012135
fastFlowMemory 128 1499 polaroid-02.png 2424125 11294984
threads 128 1499 polaroid-02.png 6338814 6484105
threadsMemory 128 1499 polaroid-02.png 1919799 10679942
grPPi 128 1499 polaroid-02.png 6427824 6539531
grPPiMemory 128 1499 polaroid-02.png 1902749 12375877
parallelFor 256 1499 polaroid-02.png 7076931 7214909
parallelForMemory 256 1499 polaroid-02.png 1775415 10585692
fastFlow 256 1499 polaroid-02.png 7296197 7435369
fastFlowMemory 256 1499 polaroid-02.png 2332102 11117316
threads 256 1499 polaroid-02.png 7507377 7648645
threadsMemory 256 1499 polaroid-02.png 1514758 10312074
grPPi 256 1499 polaroid-02.png 7682828 7797536
grPPiMemory 256 1499 polaroid-02.png 1557572 12031192
sequential 1 1499 random-05.png 326373535 326503382
sequentialMemory 1 1499 random-05.png 16246059 25010084
parallelFor 1 1499 random-05.png 326151258 326281338
parallelForMemory 1 1499 random-05.png 16122408 24681095
fastFlow 1 1499 random-05.png 326756239 326891607
fastFlowMemory 1 1499 random-05.png 18992476 27609420
threads 1 1499 random-05.png 330660748 330806501
threadsMemory 1 1499 random-05.png 17470509 26129654
grPPi 1 1499 random-05.png 346836061 346947586
grPPiMemory 1 1499 random-05.png 18209677 28613433
parallelFor 2 1499 random-05.png 168720708 168852986
parallelForMemory 2 1499 random-05.png 8213124 16929598
fastFlow 2 1499 random-05.png 170983276 171113660
fastFlowMemory 2 1499 random-05.png 10574412 19306361
threads 2 1499 random-05.png 171011712 171147113
threadsMemory 2 1499 random-05.png 8946398 17714632
grPPi 2 1499 random-05.png 175732724 175836970
grPPiMemory 2 1499 random-05.png 9069355 19430305
parallelFor 4 1499 random-05.png 87724211 87855368
parallelForMemory 4 1499 random-05.png 4325455 12921216
fastFlow 4 1499 random-05.png 87529020 87665929
fastFlowMemory 4 1499 random-05.png 5435437 14173153
threads 4 1499 random-05.png 86720680 86860171
threadsMemory 4 1499 random-05.png 4550604 13235805
grPPi 4 1499 random-05.png 89017782 89132720
grPPiMemory 4 1499 random-05.png 4549769 14866982
parallelFor 8 1499 random-05.png 44246346 44380051
parallelForMemory 8 1499 random-05.png 2197409 10856095
fastFlow 8 1499 random-05.png 44895277 45028535
fastFlowMemory 8 1499 random-05.png 2972229 11649487
threads 8 1499 random-05.png 44092617 44222455
threadsMemory 8 1499 random-05.png 2276030 10900179
grPPi 8 1499 random-05.png 46873809 46978465
grPPiMemory 8 1499 random-05.png 2291866 12630834
parallelFor 16 1499 random-05.png 22294638 22435586
parallelForMemory 16 1499 random-05.png 1137511 9752970
fastFlow 16 1499 random-05.png 22956428 23091058
fastFlowMemory 16 1499 random-05.png 1744661 10423093
threads 16 1499 random-05.png 23268046 23404626
threadsMemory 16 1499 random-05.png 1143038 9846881
grPPi 16 1499 random-05.png 23348587 23452800
grPPiMemory 16 1499 random-05.png 1149203 11564472
parallelFor 32 1499 random-05.png 12910271 13049897
parallelForMemory 32 1499 random-05.png 633073 9303675
fastFlow 32 1499 random-05.png 13535367 13664325
fastFlowMemory 32 1499 random-05.png 1157965 9768946
threads 32 1499 random-05.png 13004670 13144857
threadsMemory 32 1499 random-05.png 576747 9318837
grPPi 32 1499 random-05.png 13033114 13148035
grPPiMemory 32 1499 random-05.png 579490 10913591
parallelFor 64 1499 random-05.png 13025328 13159821
parallelForMemory 64 1499 random-05.png 383119 9132762
fastFlow 64 1499 random-05.png 13047925 13179343
fastFlowMemory 64 1499 random-05.png 962063 9676341
threads 64 1499 random-05.png 12994755 13127047
threadsMemory 64 1499 random-05.png 321208 8998030
grPPi 64 1499 random-05.png 14120548 14225120
grPPiMemory 64 1499 random-05.png 334282 10811084
parallelFor 128 1499 random-05.png 14102572 14233822
parallelForMemory 128 1499 random-05.png 339440 9143566
fastFlow 128 1499 random-05.png 15022191 15155728
fastFlowMemory 128 1499 random-05.png 1200033 10052201
threads 128 1499 random-05.png 13220533 13350651
threadsMemory 128 1499 random-05.png 249922 9115876
grPPi 128 1499 random-05.png 13131555 13235989
grPPiMemory 128 1499 random-05.png 272984 10667347
parallelFor 256 1499 random-05.png 13622928 13752709
parallelForMemory 256 1499 random-05.png 363362 9098051
fastFlow 256 1499 random-05.png 13657500 13790928
fastFlowMemory 256 1499 random-05.png 1506732 10301515
threads 256 1499 random-05.png 14148658 14281305
threadsMemory 256 1499 random-05.png 214753 9028185
grPPi 256 1499 random-05.png 14258489 14368843
grPPiMemory 256 1499 random-05.png 225579 10661512
sequential 1 1499 random-40.png 416264244 416431133
sequentialMemory 1 1499 random-40.png 117169854 126025773
parallelFor 1 1499 random-40.png 411142775 411314594
parallelForMemory 1 1499 random-40.png 114195900 122930224
fastFlow 1 1499 random-40.png 419402099 419579155
fastFlowMemory 1 1499 random-40.png 128660968 137452994
threads 1 1499 random-40.png 418400016 418564067
threadsMemory 1 1499 random-40.png 127523540 136296596
